Date,open,high,low,close
2001-07-11,1181.52,1184.93,1168.46,1179.301219201889
2001-07-12,1180.18,1210.25,1180.18,1206.7136468878393
2001-07-13,1208.14,1218.54,1203.61,1212.7234523286106
2001-07-16,1215.68,1219.63,1200.05,1200.367037900236
2001-07-17,1202.45,1215.36,1196.14,1212.9501663437622
2001-07-18,1214.44,1214.44,1198.33,1206.239198712908
2001-07-19,1207.71,1225.04,1205.8,1216.578088175718
2001-07-20,1215.02,1215.69,1207.04,1212.3310954940987
2001-07-23,1210.85,1215.22,1190.5,1192.982191998032
2001-07-24,1191.03,1191.03,1165.54,1173.1799769498227
2001-07-25,1171.65,1190.52,1171.28,1192.948110558638
2001-07-26,1190.49,1204.18,1182.65,1204.2558154484454
2001-07-27,1202.93,1209.26,1195.99,1204.9412192018888
2001-07-30,1205.82,1209.05,1200.41,1203.0936468878392
2001-07-31,1204.52,1222.74,1204.52,1208.2734523286106
2001-08-01,1211.23,1223.04,1211.23,1213.847037900236
2001-08-02,1215.93,1226.27,1215.31,1219.2601663437622
2001-08-03,1220.75,1220.75,1205.31,1212.879198712908
2001-08-06,1214.35,1214.35,1197.35,1202.038088175718
2001-08-07,1200.47,1207.56,1195.64,1205.8810954940989
2001-08-08,1204.4,1206.79,1181.27,1185.482191998032
2001-08-09,1183.53,1184.71,1174.68,1184.9599769498227
2001-08-10,1183.43,1193.33,1169.55,1192.6181105586381
2001-08-13,1190.16,1193.82,1185.12,1192.6158154484453
2001-08-14,1191.29,1198.79,1184.26,1185.8512192018889
2001-08-15,1186.73,1191.21,1177.61,1176.5936468878392
2001-08-16,1178.02,1181.8,1166.08,1178.7034523286106
2001-08-17,1181.66,1181.66,1156.07,1159.887037900236
2001-08-20,1161.97,1171.41,1160.94,1169.9201663437623
2001-08-21,1171.41,1179.85,1156.56,1155.789198712908
2001-08-22,1157.26,1168.56,1153.34,1166.868088175718
2001-08-23,1165.31,1169.86,1160.96,1163.5710954940987
2001-08-24,1162.09,1185.15,1162.09,1186.882191998032
2001-08-27,1184.93,1186.85,1178.07,1180.7399769498227
2001-08-28,1179.21,1179.66,1161.17,1163.968110558638
2001-08-29,1161.51,1166.97,1147.38,1149.8858154484453
2001-08-30,1148.6,1151.75,1124.87,1128.1512192018888
2001-08-31,1129.03,1141.83,1126.38,1132.1536468878392
2001-09-04,1133.58,1155.4,1129.06,1129.9834523286106
2001-09-05,1132.94,1135.52,1114.86,1129.657037900236
2001-09-06,1131.74,1131.74,1105.83,1104.9101663437623
2001-09-07,1106.4,1106.4,1082.12,1084.309198712908
2001-09-10,1085.78,1096.94,1073.15,1094.098088175718
2001-09-17,1092.54,1092.54,1037.46,1040.2510954940988
2001-09-18,1038.77,1046.42,1029.25,1034.692191998032
2001-09-19,1032.74,1038.91,984.62,1017.6299769498228
2001-09-20,1016.1,1016.1,984.49,986.9981105586381
2001-09-21,984.54,984.54,944.75,967.1258154484452
2001-09-24,965.8,1008.44,965.8,1002.5712192018889
2001-09-25,1003.45,1017.14,998.33,1010.8436468878392
2001-09-26,1012.27,1020.29,1002.62,1004.0834523286105
2001-09-27,1007.04,1018.92,998.24,1016.527037900236
2001-09-28,1018.61,1040.94,1018.61,1039.4501663437622
2001-10-01,1040.94,1040.94,1026.76,1037.079198712908
2001-10-02,1038.55,1051.33,1034.47,1052.888088175718
2001-10-03,1051.33,1075.38,1041.48,1073.7610954940988
2001-10-04,1072.28,1084.12,1067.82,1071.5821919980322
2001-10-05,1069.62,1072.35,1053.5,1072.9099769498227
2001-10-08,1071.37,1071.37,1056.88,1064.898110558638
2001-10-09,1062.44,1063.37,1053.83,1058.0758154484454
2001-10-10,1056.75,1081.62,1052.76,1080.1112192018888
2001-10-11,1080.99,1099.16,1080.99,1096.0036468878393
2001-10-12,1097.43,1097.43,1072.15,1088.6934523286106
2001-10-15,1091.65,1091.65,1078.19,1087.897037900236
2001-10-16,1089.98,1101.66,1087.13,1096.0501663437622
2001-10-17,1097.54,1107.12,1076.57,1075.619198712908
2001-10-18,1077.09,1077.94,1064.54,1070.168088175718
2001-10-19,1068.61,1075.52,1057.24,1074.9610954940988
2001-10-22,1073.48,1090.57,1070.79,1091.8521919980321
2001-10-23,1089.9,1098.99,1081.53,1086.3099769498226
2001-10-24,1084.78,1090.26,1079.98,1087.658110558638
2001-10-25,1085.2,1100.09,1065.64,1101.4158154484453
